Prompt ID,Model,URL,Status,Code/Detail
LEGACY330_0003,Qwen/Qwen3.5-397B-A17B,https://www.pinduoduo.com,Live,Code 200 (direct)
LEGACY330_0003,Qwen/Qwen3.5-397B-A17B,https://mms.pinduoduo.com,Live,Code 200 (direct)
LEGACY330_0003,baidu/ERNIE-4.5-300B-A47B,https://www.pinduoduo.com,Live,Code 200 (direct)
LEGACY330_0003,deepseek-ai/DeepSeek-V3.2,https://www.pinduoduo.com,Live,Code 200 (direct)
LEGACY330_0003,moonshotai/Kimi-K2-Instruct-0905,https://www.pinduoduo.com,Live,Code 200 (direct)
LEGACY330_0003,moonshotai/Kimi-K2-Instruct-0905,https://mms.pinduoduo.com,Live,Code 200 (direct)
LEGACY330_0003,moonshotai/Kimi-K2-Instruct-0905,http://pinduoduo.com,Live,Code 200 (direct)
LEGACY330_0003,moonshotai/Kimi-K2-Instruct-0905,http://pdd.com,Unknown,Connection Failed
LEGACY330_0003,moonshotai/Kimi-K2-Instruct-0905,http://pinduoduo.cn,Dead,DNS Unresolved
LEGACY330_0003,zai-org/GLM-4.6,https://www.pinduoduo.com,Live,Code 200 (direct)
LEGACY330_0003,zai-org/GLM-4.6,https://mms.pinduoduo.com,Live,Code 200 (direct)
LEGACY330_0003,zai-org/GLM-4.6,https://jinbao.pinduoduo.com,Live,Code 200 (direct)
LEGACY330_0003,zai-org/GLM-4.6,http://pinduoduo.com,Live,Code 200 (direct)
LEGACY330_0003,zai-org/GLM-4.6,http://pinduoduo.cn,Dead,DNS Unresolved
LEGACY330_0003,zai-org/GLM-4.6,http://pinduoduo.vip,Live,Code 200 (direct)
LEGACY330_0011,Qwen/Qwen3.5-397B-A17B,https://www.alipay.com,Live,Code 200 (direct)
LEGACY330_0011,Qwen/Qwen3.5-397B-A17B,http://alipay.com,Live,Code 200 (direct)
LEGACY330_0011,Qwen/Qwen3.5-397B-A17B,http://open.alipay.com,Live,Code 200 (direct)
LEGACY330_0011,baidu/ERNIE-4.5-300B-A47B,https://www.alipay.com,Live,Code 200 (direct)
LEGACY330_0011,baidu/ERNIE-4.5-300B-A47B,https://global.alipay.com,Live,Code 200 (direct)
LEGACY330_0011,baidu/ERNIE-4.5-300B-A47B,http://alipay.com,Live,Code 200 (direct)
LEGACY330_0011,deepseek-ai/DeepSeek-V3.2,https://www.alipay.com,Live,Code 200 (direct)
LEGACY330_0011,moonshotai/Kimi-K2-Instruct-0905,https://www.alipay.com,Live,Code 200 (direct)
LEGACY330_0011,zai-org/GLM-4.6,https://www.alipay.com,Live,Code 200 (direct)
LEGACY330_0011,zai-org/GLM-4.6,http://zhifubao.com,Dead,DNS Unresolved
LEGACY330_0011,zai-org/GLM-4.6,http://alipay.com,Live,Code 200 (direct)
LEGACY330_0012,Qwen/Qwen3.5-397B-A17B,http://www.icbc.com.cn,Live,Code 200 (direct)
LEGACY330_0012,Qwen/Qwen3.5-397B-A17B,http://mybank.icbc.com.cn,Unknown,Connection Failed
LEGACY330_0012,baidu/ERNIE-4.5-300B-A47B,http://www.icbc.com.cn,Live,Code 200 (direct)
LEGACY330_0012,deepseek-ai/DeepSeek-V3.2,http://www.icbc.com.cn,Live,Code 200 (direct)
LEGACY330_0012,deepseek-ai/DeepSeek-V3.2,http://www.icbc-ltd.com,Live,Code 200 (direct)
